iter	Passed	Remaining
564	3715	2860
565	3720	2852
566	3726	2845
567	3731	2838
568	3736	2830
569	3742	2823
570	3747	2815
571	3752	2807
572	3758	2800
573	3763	2793
574	3768	2785
575	3773	2778
576	3779	2771
577	3784	2763
578	3790	2756
579	3796	2749
580	3801	2741
581	3807	2734
582	3813	2727
583	3818	2720
584	3825	2713
585	3831	2706
586	3836	2699
587	3844	2693
588	3849	2686
589	3855	2679
590	3861	2672
591	3867	2665
592	3872	2658
593	3878	2651
594	3883	2643
595	3889	2636
596	3895	2629
597	3901	2622
598	3906	2615
599	3912	2608
600	3917	2600
601	3922	2593
602	3928	2586
603	3935	2580
604	3941	2573
605	3947	2566
606	3952	2559
607	3958	2552
608	3965	2546
609	3971	2539
610	3977	2532
611	3982	2525
612	3988	2517
613	3994	2510
614	4000	2504
615	4005	2496
616	4011	2489
617	4016	2482
618	4021	2475
619	4027	2468
620	4033	2461
621	4038	2454
622	4044	2447
623	4049	2440
624	4054	2432
625	4060	2425
626	4065	2418
627	4071	2412
628	4077	2405
629	4083	2398
630	4089	2391
631	4094	2384
632	4100	2377
633	4107	2371
634	4113	2364
635	4121	2358
636	4126	2351
637	4132	2344
638	4139	2338
639	4145	2331
640	4151	2324
641	4156	2317
642	4162	2311
643	4169	2304
644	4175	2298
645	4181	2291
646	4188	2285
647	4194	2278
648	4200	2271
649	4206	2265
650	4212	2258
651	4217	2251
652	4224	2245
653	4232	2239
654	4238	2232
655	4244	2225
656	4250	2219
657	4256	2212
658	4263	2205
659	4269	2199
660	4274	2192
661	4280	2185
662	4286	2178
663	4291	2171
664	4297	2164
665	4303	2158
666	4310	2152
667	4316	2145
668	4322	2138
669	4327	2131
670	4333	2124
671	4339	2117
672	4345	2111
673	4351	2104
674	4356	2097
675	4361	2090
676	4368	2084
677	4373	2077
678	4379	2070
679	4387	2064
680	4392	2057
681	4399	2051
682	4404	2044
683	4410	2037
684	4416	2030
685	4421	2023
686	4427	2017
687	4434	2011
688	4440	2004
689	4446	1997
690	4452	1990
691	4458	1984
692	4464	1977
693	4470	1971
694	4476	1964
695	4482	1957
696	4488	1951
697	4495	1944
698	4501	1938
699	4506	1931
700	4512	1924
701	4518	1918
702	4523	1911
703	4529	1904
704	4536	1898
705	4542	1891
706	4548	1885
707	4554	1878
708	4559	1871
709	4565	1864
710	4571	1858
711	4577	1851
712	4583	1845
713	4589	1838
714	4597	1832
715	4602	1825
716	4608	1818
717	4613	1812
718	4619	1805
719	4625	1798
720	4631	1792
721	4638	1785
722	4645	1779
723	4652	1773
724	4657	1766
725	4663	1760
726	4669	1753
727	4675	1746
728	4680	1740
729	4686	1733
730	4692	1726
731	4699	1720
732	4704	1713
733	4711	1707
734	4717	1701
735	4723	1694
736	4729	1687
737	4735	1681
738	4741	1674
739	4747	1668
740	4752	1661
741	4758	1654
742	4765	1648
743	4772	1642
744	4778	1635
745	4784	1628
746	4789	1622
747	4795	1615
748	4801	1609
749	4807	1602
750	4813	1596
751	4820	1589
752	4826	1583
753	4832	1576
754	4837	1569
755	4846	1564
756	4852	1557
757	4858	1551
758	4864	1544
759	4871	1538
760	4878	1532
761	4885	1525
762	4891	1519
763	4896	1512
764	4901	1505
765	4909	1499
766	4916	1493
767	4922	1486
768	4927	1480
769	4933	1473
770	4940	1467
771	4945	1460
772	4951	1453
773	4957	1447
774	4964	1441
775	4970	1434
776	4977	1428
777	4982	1421
778	4989	1415
779	4994	1408
780	5000	1402
781	5006	1395
782	5011	1388
783	5018	1382
784	5025	1376
785	5030	1369
786	5036	1363
787	5042	1356
788	5048	1349
789	5054	1343
790	5059	1336
791	5065	1330
792	5071	1323
793	5077	1317
794	5084	1311
795	5090	1304
796	5095	1297
797	5101	1291
798	5107	1284
799	5114	1278
800	5120	1272
801	5125	1265
802	5130	1258
803	5136	1252
804	5141	1245
805	5146	1238
806	5153	1232
807	5158	1225
808	5164	1219
809	5171	1213
810	5178	1206
811	5184	1200
812	5191	1194
813	5196	1187
814	5203	1181
815	5208	1174
816	5214	1167
817	5219	1161
818	5225	1154
819	5230	1148
820	5236	1141
821	5241	1134
822	5246	1128
823	5252	1121
824	5259	1115
825	5265	1109
826	5271	1102
827	5276	1096
828	5284	1090
829	5290	1083
830	5295	1076
831	5302	1070
832	5309	1064
833	5315	1057
834	5320	1051
835	5325	1044
836	5332	1038
837	5337	1031
838	5343	1025
839	5349	1018
840	5355	1012
841	5361	1006
842	5367	999
843	5373	993
844	5380	986
845	5385	980
846	5391	973
847	5397	967
848	5402	960
849	5408	954
850	5416	948
851	5421	941
852	5427	935
853	5433	928
854	5439	922
855	5444	915
856	5451	909
857	5456	903
858	5462	896
859	5468	890
860	5475	884
861	5482	877
862	5488	871
863	5494	864
864	5499	858
865	5505	851
866	5513	845
867	5519	839
868	5529	833
869	5536	827
870	5544	821
871	5550	814
872	5555	808
873	5563	801
874	5569	795
875	5577	789
876	5583	783
877	5591	776
878	5598	770
879	5605	764
880	5611	757
881	5616	751
882	5623	745
883	5629	738
884	5634	732
885	5640	725
886	5647	719
887	5653	713
888	5659	706
889	5665	700
890	5671	693
891	5677	687
892	5682	680
893	5688	674
894	5694	668
895	5700	661
896	5706	655
897	5712	648
898	5718	642
899	5725	636
900	5731	629
901	5737	623
902	5743	616
903	5749	610
904	5755	604
905	5760	597
906	5768	591
907	5774	585
908	5780	578
909	5785	572
910	5792	565
911	5797	559
912	5803	552
913	5809	546
914	5814	540
915	5820	533
916	5826	527
917	5831	520
918	5839	514
919	5845	508
920	5850	501
921	5856	495
922	5862	489
923	5868	482
924	5874	476
925	5879	469
926	5885	463
927	5893	457
928	5898	450
929	5904	444
930	5910	438
931	5917	431
932	5923	425
933	5929	418
934	5934	412
935	5941	406
936	5947	399
937	5953	393
938	5959	387
939	5965	380
940	5971	374
941	5976	367
942	5982	361
943	5988	355
944	5995	348
945	6001	342
946	6006	336
947	6012	329
948	6019	323
949	6025	317
950	6030	310
951	6036	304
952	6043	298
953	6048	291
954	6056	285
955	6061	279
956	6067	272
957	6073	266
958	6079	259
959	6085	253
960	6090	247
961	6096	240
962	6102	234
963	6108	228
964	6114	221
965	6120	215
966	6125	209
967	6131	202
968	6139	196
969	6144	190
970	6151	183
971	6157	177
972	6162	171
973	6168	164
974	6174	158
975	6179	151
976	6186	145
977	6193	139
978	6199	132
979	6205	126
980	6211	120
981	6218	113
982	6223	107
983	6229	101
984	6235	94
985	6242	88
986	6249	82
987	6255	75
988	6260	69
989	6266	63
990	6272	56
991	6278	50
992	6284	44
993	6289	37
994	6297	31
995	6303	25
996	6309	18
997	6315	12
998	6321	6
999	6326	0
